Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
ENSMUSG00000041633,Kctd12b,2.9449181668872573,0.000728369054411,0.0227577447816603,0.2097236945711999,0.8338833311876357,,False
ENSMUSG00000041644,Slc5a12,0.8904105517828219,-0.0001793837846757,0.0234726004818451,-0.0869980586461064,0.9306730552339776,,False
ENSMUSG00000041649,Klf8,2.8928000196564767,0.0008485071026586,0.0227922370990545,0.2127397095022782,0.831529991954021,,False
ENSMUSG00000041650,Pcca,5.467335781454958,0.0030265238578471,0.0223643354231291,0.6818905226219774,0.4953081786203206,,False
ENSMUSG00000041653,Pnpla3,2.8786102928767363,-0.0006178857059827,0.0227680110907767,-0.1690269580168759,0.8657754370439138,,False
ENSMUSG00000041654,Slc39a11,3.926340393156867,-0.000113307853303,0.0223984396582046,-0.0651852950623225,0.9480264690670646,,False
ENSMUSG00000041660,Bbox1,2.220202762358938,-0.0018654491463556,0.0231507534284953,-0.6207894648970431,0.5347381558103936,,False
ENSMUSG00000041669,Prima1,2.0416726067636968,0.0024496915781189,0.02339113541988,0.16412869818215,0.869629830269328,,False
ENSMUSG00000041671,Pyroxd1,3.792342347983431,0.0054298882426414,0.024012366865217,0.0212224928355595,0.983068171633852,,False
ENSMUSG00000041673,Lrrc18,1.4640686569439054,0.0031118935797378,0.0238115721335691,1.0645964857827397,0.2870585707980131,,False
ENSMUSG00000041674,BC006965,2.236358661284951,0.0010171959106347,0.0230452906719739,0.3416737475813401,0.7325964307669515,,False
ENSMUSG00000041679,Fbxl9,2.085444569854863,0.0747023936191017,0.2984490071230598,0.9200683237588544,0.3575370562264131,,False
ENSMUSG00000041681,Iapp,0.0041293237003641,2.2188117482958103e-05,0.0269516565114242,0.0076121291822784,0.9939264583054134,,False
ENSMUSG00000041684,Bivm,4.940884652143716,0.003683561584606,0.0227628653764304,0.798944518654422,0.4243225833682672,,False
ENSMUSG00000041685,Fcho2,7.640609538843346,-0.0003906442936159,0.0212836104955757,-0.0242501255062448,0.9806530954974167,,False
ENSMUSG00000041688,Amot,5.440687528310003,-0.0046153913545433,0.0229456139130853,-0.9462735215120884,0.344009095024512,,False
