refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR6113466	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-30909943	
SRR6113467	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-30909943	
SRR6113468	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-30909943	
SRR6113469	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-31388424	
SRR6113470	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-31388424	
SRR6113471	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-31388424	
SRR6113472	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-31388424	
SRR6113473	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-30888013	
SRR6113474	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-30888013	
SRR6113475	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-30888013	
SRR6113476	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-30888013	
SRR6113477	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-31371487	
SRR6113478	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-31371487	
SRR6113479	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-31371487	
SRR6113480	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-31371487	
SRR6113481	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-30900070	
SRR6113482	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-30900070	
SRR6113483	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-30900070	
SRR6113484	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-30900070	
SRR6113485	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-31384402	
SRR6113486	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-31384402	
SRR6113487	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-31384402	
